,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,165977,93,0.716,0.233,0.716,0.537,0.0,0.157,-7.648,0.0514,129.979,4
38,Be Kind (with Halsey),Be Kind (with Halsey),Marshmello,2020-05-01,172761,91,0.63,0.00776,0.63,0.633,0.0,0.0541,-7.088,0.0457,93.995,4
39,Walk Em Down (feat. Roddy Ricch),Walk Em Down (feat. Roddy Ricch),NLE Choppa,2020-03-19,173288,88,0.867,0.268,0.867,0.744,0.0,0.0713,-5.171,0.228,84.005,4
40,Supalonely,STELLA & STEVE,BENEE,2019-11-15,223480,93,0.863,0.305,0.863,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,4
41,Memories,Memories,Maroon 5,2019-09-20,189486,90,0.764,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,91.019,4
42,Nobody But You (Duet with Gwen Stefani),Fully Loaded: God's Country,Blake Shelton,2019-12-13,194866,75,0.463,0.111,0.463,0.653,0.000136,0.172,-5.515,0.0273,143.912,4
43,Dior,Meet The Woo,Pop Smoke,2019-07-26,216386,85,0.548,0.212,0.548,0.805,0.000389,0.408,-5.732,0.351,142.094,4
44,Die From A Broken Heart,Die From A Broken Heart,Maddie & Tae,2018-10-19,188290,73,0.607,0.363,0.607,0.514,0.0,0.258,-6.631,0.0323,75.978,4
45,hot girl bummer,hot girl bummer,blackbear,2019-08-23,185093,87,0.778,0.128,0.778,0.559,0.0,0.399,-7.109,0.0776,129.989,1
46,Here And Now,Knowing You,Kenny Chesney,2020-04-10,171493,26,0.509,0.0484,0.509,0.814,0.0,0.12,-3.576,0.0532,148.034,4
47,I Love My Country,I Love My Country,Florida Georgia Line,2020-03-27,184554,55,0.538,0.0227,0.538,0.941,0.0,0.302,-3.582,0.0639,140.044,4
48,Wash Us In The Blood,Wash Us In The Blood,Kanye West,2020-06-30,189827,84,0.67,0.184,0.67,0.847,0.0,0.304,-4.85,0.409,137.22,4
49,If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,208687,87,0.464,0.866,0.464,0.473,0.0,0.109,-10.086,0.129,75.801,4
50,Like That (feat. Gucci Mane),Hot Pink,Doja Cat,2019-11-07,163173,85,0.879,0.24,0.879,0.499,0.0,0.0967,-6.027,0.18,106.043,4
51,Got What I Got,9,Jason Aldean,2019-11-22,178146,76,0.512,0.621,0.512,0.58,1.72e-05,0.513,-6.658,0.029,159.847,3
52,Does To Me (feat. Eric Church),What You See Is What You Get,Luke Combs,2019-11-08,223320,50,0.616,0.308,0.616,0.849,0.0,0.311,-4.897,0.0373,113.066,4
53,TROLLZ (with Nicki Minaj),TROLLZ (with Nicki Minaj),6ix9ine,2020-06-12,202666,87,0.744,0.0319,0.744,0.422,0.00011,0.11,-8.946,0.294,180.006,4
54,GOOBA,GOOBA,6ix9ine,2020-05-08,132303,92,0.611,0.0264,0.611,0.688,0.0,0.251,-5.688,0.341,178.462,4
55,In Between,Seasons Change,Scotty McCreery,2018-03-16,221600,56,0.592,0.0166,0.592,0.928,1.38e-05,0.123,-5.403,0.0557,121.997,4
56,Don't Rush (feat. Headie One),Don't Rush (feat. Headie One),Young T & Bugsey,2019-11-07,207640,80,0.961,0.202,0.961,0.461,0.00402,0.162,-8.684,0.27,108.028,4
57,Be A Light,Be A Light,Thomas Rhett,2020-03-30,173960,73,0.509,0.0397,0.509,0.493,1.32e-06,0.102,-6.676,0.0266,97.846,4
58,P*$$Y Fairy (OTW),P*$$Y Fairy (OTW),Jhené Aiko,2020-01-17,181860,74,0.572,0.536,0.572,0.519,0.0,0.102,-7.092,0.212,128.331,4
59,God Whispered Your Name,God Whispered Your Name,Keith Urban,2020-02-27,232165,74,0.594,0.306,0.594,0.6,0.0,0.149,-6.712,0.0498,145.967,4
60,After Party,Heaven Or Hell,Don Toliver,2020-03-13,167915,89,0.629,0.00981,0.629,0.692,0.331,0.603,-8.045,0.0376,162.948,4
61,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,2020-05-01,220487,57,0.745,0.619,0.745,0.446,0.0,0.113,-7.518,0.326,122.982,4
62,Done,Real Friends,Chris Janson,2019-10-18,220120,72,0.565,0.34,0.565,0.835,0.0,0.0726,-3.379,0.0335,105.007,4
63,MAMACITA,MAMACITA,Black Eyed Peas,2020-04-10,249142,90,0.894,0.193,0.894,0.635,0.00105,0.0823,-6.929,0.0473,105.013,4
64,One Big Country Song,Brothers,LOCASH,2019-03-29,193026,74,0.547,0.602,0.547,0.822,0.0,0.107,-2.85,0.0334,81.981,4
65,Beer Can’t Fix,Center Point Road,Thomas Rhett,2019-05-31,209733,76,0.711,0.0317,0.711,0.774,0.0,0.124,-4.068,0.0308,111.016,4
66,After A Few,After A Few,Travis Denning,2019-01-18,213493,72,0.617,0.0146,0.617,0.849,0.0,0.194,-4.316,0.0355,106.998,4
67,3 Headed Goat (feat. Lil Baby & Polo G),3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,2020-05-07,169531,76,0.835,0.262,0.835,0.482,0.0,0.0991,-8.607,0.367,143.015,4
68,Why We Drink,Late Nights And Longnecks,Justin Moore,2019-07-26,211430,73,0.624,0.00824,0.624,0.903,0.0,0.309,-3.046,0.0347,116.99,4
69,Flex (feat. Juice WRLD),THE GOAT,Polo G,2020-05-15,163902,86,0.752,0.0538,0.752,0.673,0.0,0.133,-5.792,0.153,164.009,4
70,BLACK PARADE,BLACK PARADE,Beyoncé,2020-06-19,281272,81,0.824,0.00337,0.824,0.555,6.42e-06,0.217,-5.817,0.05,120.002,4
71,Need It,Need It,Migos,2020-05-22,195680,80,0.852,0.0313,0.852,0.745,0.0,0.0824,-3.667,0.171,148.007,4
72,One Of Them Girls,One Of Them Girls,Lee Brice,2020-04-10,188893,76,0.643,0.294,0.643,0.79,0.0,0.107,-6.079,0.0462,95.987,4
73,Yo Perreo Sola,YHLQMDLG,Bad Bunny,2020-02-28,172127,90,0.86,0.021,0.86,0.758,6.54e-05,0.344,-5.16,0.0695,97.014,4
74,Know My Rights (feat. Lil Baby),6pc Hot EP,6LACK,2020-06-26,194395,76,0.789,0.249,0.789,0.419,0.0257,0.123,-9.874,0.157,117.988,4
75,Cool Again,Cool Again,Kane Brown,2020-04-23,164668,75,0.608,0.0156,0.608,0.735,1.69e-06,0.361,-5.497,0.0371,90.007,4
76,Past Life (with Selena Gomez),Past Life (with Selena Gomez),Trevor Daniel,2020-06-26,186480,82,0.612,0.104,0.612,0.539,0.0,0.18,-5.071,0.0488,79.948,4
77,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),Surf Mesa,2019-11-26,176546,94,0.674,0.0686,0.674,0.774,0.00188,0.393,-7.567,0.0892,112.05,4
78,Daisies,Daisies,Katy Perry,2020-05-15,173123,85,0.639,0.0837,0.639,0.546,0.0,0.122,-5.382,0.0407,122.179,4
79,GO (feat. Juice WRLD),GO (feat. Juice WRLD),The Kid LAROI,2020-06-12,183947,87,0.544,0.185,0.544,0.744,0.0,0.336,-5.007,0.0889,73.699,4
80,DOLLAZ ON MY HEAD (feat. Young Thug),WUNNA,Gunna,2020-05-22,197760,85,0.825,0.114,0.825,0.458,0.0,0.102,-7.47,0.0577,145.115,4
81,More Than My Hometown,More Than My Hometown,Morgan Wallen,2020-04-17,216573,79,0.621,0.601,0.621,0.882,0.0,0.132,-5.01,0.0459,126.023,4
82,One Night Standards,Never Will,Ashley McBryde,2020-04-03,190973,72,0.537,0.0287,0.537,0.686,0.00709,0.0988,-5.022,0.0293,78.052,4
